number,rmse_log,params_batch_size,params_gamma,params_lambda_sparse,params_lr,params_mask_type,params_n_a,params_n_d,params_n_independent,params_n_shared,params_n_steps,params_virtual_batch_size,state,user_attrs_mae_usd,user_attrs_mape,user_attrs_rmse_usd
89,0.14185920501973717,512,1.3292000448797965,1e-05,0.01566432086583603,entmax,64,32,3,2,3,128,COMPLETE,17588.475840111307,10.669411153594918,26631.479901678333
52,0.15965815608233339,512,1.2808653348709487,1e-06,0.008019100329453301,entmax,32,16,2,2,4,128,COMPLETE,22824.932255993168,12.511796604607008,34364.53236621025
80,0.15985744680432534,512,1.2642591905103544,1e-05,0.011443585683720064,entmax,64,32,3,2,4,128,COMPLETE,19894.904778467473,12.200432970581762,27891.106833009588
98,0.1682128849297511,512,1.7797408239693528,1e-05,0.014185596776048696,entmax,64,32,3,2,3,128,COMPLETE,21644.001444777405,12.677109301787718,32077.57611905242
62,0.16834769787563345,512,1.2249310357564072,1e-06,0.006306852272485416,entmax,32,16,2,3,4,128,COMPLETE,21777.90555436645,12.276941762686501,40230.84624566992
99,0.1697063534285841,512,1.8347954255802172,1e-05,0.013571325133567052,entmax,64,32,3,2,3,128,COMPLETE,22321.333061322788,12.47158820341091,37144.89757876567
82,0.17010793014750303,512,1.2262693293093692,1e-05,0.013137901926129281,entmax,64,32,3,2,4,128,COMPLETE,21717.314814319354,13.240863468357256,31465.746655208433
51,0.1723763273704493,512,1.2658993371444716,1e-06,0.008395511617643323,entmax,32,16,2,2,4,128,COMPLETE,20839.798132491444,12.58102395621312,31244.710929267938
24,0.17375811142544306,512,1.5858331855681553,0.001,0.01901403427715159,entmax,16,24,2,1,3,256,COMPLETE,22358.620277718343,12.98922270649905,35016.887714154276
90,0.1747937281826223,2048,1.3203514063403348,1e-05,0.01571169717466611,entmax,64,32,3,2,3,128,COMPLETE,21412.94298480309,12.812959325496683,35648.08735554387
97,0.17494807086019903,512,1.8087030070331778,1e-05,0.01379386502674472,entmax,64,32,3,2,3,128,COMPLETE,20833.908149614734,12.883782555352902,30861.630426094907
87,0.1768510742279792,512,1.2019102606477157,1e-05,0.014463112979450164,entmax,64,32,3,2,4,128,COMPLETE,22550.837823737173,13.04361342432232,34641.327732266065
88,0.17823811399127235,512,1.2961232483227585,1e-05,0.015175726226617012,entmax,64,32,3,2,4,128,COMPLETE,21976.519718535972,13.44559087662881,33917.62512448433
74,0.1791472925907773,512,1.3843736066626449,1e-05,0.009732794473031948,entmax,48,32,2,2,4,128,COMPLETE,23170.596559289395,13.600372117359305,37761.55838546203
85,0.17971924719099283,512,1.2006402370137188,1e-05,0.013293072465450813,entmax,64,32,3,2,4,128,COMPLETE,24419.44164704624,14.049465936191444,37348.684966163295
53,0.1811431442838641,512,1.2103048866507684,1e-06,0.008011964987102169,entmax,32,16,2,2,4,128,COMPLETE,23283.430944991444,13.427639476251308,39029.00547043734
59,0.181524014502312,512,1.2434261456295244,1e-06,0.008617114768395193,entmax,32,16,2,3,4,128,COMPLETE,23589.648945847617,13.685246042513292,35114.837527372285
12,0.18232676137834788,512,1.5230368443266658,0.001,0.01135991096004688,entmax,24,48,2,3,4,256,COMPLETE,22494.74927761132,13.452894883602845,34495.28095569063
50,0.18257469902880744,512,1.3500223589328937,1e-06,0.008181123710131164,entmax,32,16,2,2,4,128,COMPLETE,24018.457860659262,14.107551062749963,39805.913298010084
65,0.18308532482508721,512,1.2536557676946263,1e-06,0.010393508530842237,entmax,48,16,2,3,5,128,COMPLETE,22472.459225171246,13.473263503143126,38632.405988864906
54,0.18389943039510245,512,1.2118636215708456,1e-06,0.008246325936606727,entmax,32,16,2,2,4,128,COMPLETE,25010.939921339916,13.869839588899888,41292.830180451514
26,0.18457215201859334,512,1.8547901413195313,0.001,0.01710556912439625,entmax,16,24,2,1,3,256,COMPLETE,23632.96279698203,13.500076672210762,38064.24280560825
44,0.18526198926186446,512,1.4987307348829944,0.001,0.005736129029040872,entmax,32,48,2,1,3,256,COMPLETE,25075.094566031697,13.817365909127762,40389.35108854357
69,0.18831205782305677,512,1.303880052585893,0.0,0.007466622456489603,entmax,32,16,2,3,4,128,COMPLETE,23298.392591502576,14.045113597105965,35795.2778167422
41,0.18837252280682934,512,1.5270876873856534,0.001,0.009865557540878034,entmax,32,48,2,1,4,256,COMPLETE,24333.316941352747,13.993492235432717,42844.99677566617
45,0.18949812450497563,512,1.414294795393227,0.001,0.005795466332874754,entmax,32,48,2,1,3,256,COMPLETE,23770.748836151542,14.323402240223235,37643.083857243335
1,0.1899884744004748,512,1.5095125899033655,0.0001,0.008813310440386789,entmax,64,48,1,1,5,64,COMPLETE,25365.443265732032,13.335054642288767,46998.76218311639
5,0.19134238625545535,512,1.5957471074541478,0.001,0.012358422737311506,entmax,32,48,2,1,4,256,COMPLETE,24199.718522581356,14.15263529465397,43942.918767375064
71,0.19332972952791141,512,1.276764113016468,1e-06,0.008417133528547806,entmax,32,16,2,2,4,128,COMPLETE,26144.545456977747,14.311854344870213,46472.50496754476
73,0.19346849783723047,512,1.3348982426145524,1e-06,0.00912495273896616,entmax,32,16,2,2,4,128,COMPLETE,25085.645400791964,14.842579772849545,40019.65715033405
47,0.19394472963597606,512,1.7239704462925638,0.001,0.009717923627370027,entmax,32,64,2,1,3,256,COMPLETE,23457.612264554806,13.91951299567805,36112.03570587004
68,0.19729358174184503,1024,1.2595455350061517,1e-06,0.011648487474847615,entmax,24,16,2,3,4,128,COMPLETE,24714.02295590755,14.357445453045296,42218.487347348135
43,0.19804061326798067,512,1.6340524337164397,0.001,0.006878664355913818,entmax,32,48,2,1,4,256,COMPLETE,25114.075543129293,14.294262387997087,44747.096061687924
94,0.19937905286508795,2048,1.2741412791899052,1e-05,0.015308822701590567,entmax,64,32,3,2,3,128,COMPLETE,22694.472281678096,14.889728850345533,33580.86952302579
83,0.2003742343735143,512,1.223132367886243,1e-05,0.012413740311757376,entmax,64,32,3,2,7,128,COMPLETE,24837.72254922946,15.159315663947487,35816.180970983325
10,0.20078580791282827,512,1.5074519304876774,0.0,0.004953581481660257,entmax,64,48,1,3,3,128,COMPLETE,25580.850840111307,14.664021803912064,44047.697951539136
25,0.2008658347856583,512,1.4590252656114673,0.0001,0.019610254825317818,entmax,16,24,1,2,3,64,COMPLETE,26200.62560199058,14.77159035561072,46607.98005465074
84,0.2012465569725997,512,1.261016550691266,1e-05,0.007352443291114801,entmax,64,32,3,2,4,128,COMPLETE,25208.916069135288,14.967123111705236,44008.26421681462
17,0.2015622718839717,512,1.5118705326871529,0.0001,0.012327870354342432,entmax,64,48,2,3,3,64,COMPLETE,23216.878852739737,14.493018684861786,36221.247607547244
21,0.20181640526389247,512,1.563549443922617,0.001,0.012987391029407843,entmax,24,48,2,1,4,256,COMPLETE,26678.8713077911,15.813892144757805,38736.781814709444
91,0.2027198376081756,2048,1.3284844324757354,1e-05,0.015372109855659954,entmax,64,32,3,2,3,128,COMPLETE,24756.57882063356,15.176240237837971,42688.76810219502
16,0.20401295036630107,512,1.3857623611516923,0.001,0.004723643512372647,entmax,24,48,3,2,4,256,COMPLETE,26059.372859589053,15.605892332976397,40824.95858440736
35,0.20610070270033307,512,1.5565925330544068,0.0001,0.01660889518925015,entmax,16,24,3,2,3,64,COMPLETE,26782.513845783393,15.545145396239713,42114.572870321834
86,0.207622588113257,1024,1.2245960097059385,1e-05,0.0132065444321774,entmax,64,32,3,2,3,128,COMPLETE,25830.92554045378,15.326806574380667,45026.94150973419
70,0.2080691351833802,512,1.202481124568414,1e-06,0.007783535918381107,entmax,32,16,2,2,5,128,COMPLETE,25695.182068707203,15.251841754540262,40673.120068333126
13,0.20848454138017855,512,1.4394627230165107,0.0,0.008447565776878772,entmax,24,48,1,3,3,64,COMPLETE,26806.15777504282,16.482555856639053,38847.14741663385
64,0.20907636180081304,512,1.2169215026488907,1e-06,0.006231026157696275,entmax,32,16,2,3,5,128,COMPLETE,28209.730642658393,16.806879063247727,44394.67475356005
46,0.2097049476562399,2048,1.4888802906844707,0.001,0.005681002627075099,entmax,32,48,2,1,3,256,COMPLETE,27596.755578446067,15.838907002663799,47986.571742888635
75,0.21021715630032134,512,1.383094765423562,1e-05,0.009720907354250305,entmax,48,32,2,2,5,128,COMPLETE,28494.94311857878,16.685919585860063,42108.18332225518
77,0.2102411769974567,512,1.4495168493606487,1e-05,0.010104433140892497,entmax,48,32,2,2,4,128,COMPLETE,26562.941834332203,15.777746970592274,42857.675625702395
79,0.21069334806522838,512,1.4170917434610597,0.0,0.009369045522103136,entmax,24,64,2,2,4,128,COMPLETE,26614.764019691793,16.54634732322931,38695.064334786905
81,0.21169084340238975,512,1.265834121626973,1e-05,0.011536354447666933,entmax,64,32,3,2,4,128,COMPLETE,25182.212810359608,15.800971276329504,38654.15714279171
42,0.21293099727851036,512,1.5329091626670366,0.001,0.009266000121395005,entmax,32,48,2,1,4,256,COMPLETE,24640.823924443506,15.967120158252524,37998.83276676096
28,0.2147455360632068,512,1.8809412584533014,0.001,0.014661252204178892,entmax,16,24,2,1,3,256,COMPLETE,26420.4049389983,15.829968467585893,43576.43993753078
